Year,District,Area,Crime_Type,Victim_Age,Time,Urban_Rural,Police_Station,Crime_Count
2021,Chennai,T Nagar,Rape,23,Night,Urban,T Nagar PS,18
2021,Chennai,Velachery,Assault,31,Evening,Urban,Velachery PS,9
2021,Chennai,Tambaram,Kidnapping,17,Night,Urban,Tambaram PS,14
2021,Coimbatore,Gandhipuram,Rape,26,Night,Urban,Gandhipuram PS,20
2021,Coimbatore,RS Puram,Assault,35,Morning,Urban,RS Puram PS,6
2021,Madurai,Anna Nagar,Rape,21,Night,Urban,Anna Nagar PS,16
2021,Madurai,KK Nagar,Assault,28,Evening,Urban,KK Nagar PS,8
2021,Salem,Hasthampatti,Kidnapping,15,Night,Rural,Hasthampatti PS,12
2021,Trichy,Srirangam,Rape,24,Night,Urban,Srirangam PS,19
2021,Tirunelveli,Palayamkottai,Assault,32,Evening,Rural,Palayamkottai PS,5
2021,Erode,Perundurai,Rape,19,Night,Rural,Perundurai PS,15
2021,Vellore,Katpadi,Assault,27,Morning,Urban,Katpadi PS,4
2021,Thanjavur,Kumbakonam,Kidnapping,16,Evening,Rural,Kumbakonam PS,10
2021,Tiruppur,Avinashi,Rape,29,Night,Urban,Avinashi PS,17
2021,Chennai,Adyar,Assault,34,Morning,Urban,Adyar PS,7
2021,Chengalpattu,Maraimalai Nagar,Harassment,22,Evening,Urban,Maraimalai Nagar PS,11
2021,Dindigul,Natham,Rape,20,Night,Rural,Natham PS,13
2021,Karur,Vangal,Assault,25,Morning,Rural,Vangal PS,5
2021,Namakkal,Tiruchengode,Kidnapping,18,Night,Urban,Tiruchengode PS,14
2021,Cuddalore,Neyveli,Rape,27,Night,Urban,Neyveli PS,18
2021,Thoothukudi,Kovilpatti,Assault,33,Evening,Rural,Kovilpatti PS,7
2021,Virudhunagar,Sivakasi,Harassment,24,Evening,Urban,Sivakasi PS,10
2021,Ramanathapuram,Paramakudi,Kidnapping,15,Night,Rural,Paramakudi PS,9
2021,Kanchipuram,Uthiramerur,Assault,29,Morning,Rural,Uthiramerur PS,4
2021,Nilgiris,Ooty,Rape,26,Night,Urban,Ooty PS,12
2022,Chennai,T Nagar,Rape,22,Night,Urban,T Nagar PS,21
2022,Chennai,Velachery,Assault,30,Evening,Urban,Velachery PS,11
2022,Chennai,Tambaram,Kidnapping,18,Night,Urban,Tambaram PS,15
2022,Coimbatore,Gandhipuram,Rape,25,Night,Urban,Gandhipuram PS,22
2022,Coimbatore,Peelamedu,Assault,36,Morning,Urban,Peelamedu PS,5
2022,Madurai,Anna Nagar,Rape,20,Night,Urban,Anna Nagar PS,18
2022,Madurai,Simmakkal,Assault,29,Evening,Rural,Simmakkal PS,9
2022,Salem,Ammapet,Kidnapping,17,Night,Rural,Ammapet PS,13
2022,Trichy,Woraiyur,Rape,23,Night,Urban,Woraiyur PS,20
2022,Tirunelveli,Melapalayam,Assault,33,Evening,Rural,Melapalayam PS,6
2022,Erode,Bhavani,Rape,18,Night,Rural,Bhavani PS,14
2022,Vellore,Gudiyatham,Assault,26,Morning,Rural,Gudiyatham PS,3
2022,Thanjavur,Pattukkottai,Kidnapping,15,Evening,Rural,Pattukkottai PS,11
2022,Tiruppur,Dharapuram,Rape,28,Night,Urban,Dharapuram PS,19
2022,Chennai,Perambur,Assault,35,Morning,Urban,Perambur PS,8
2022,Chengalpattu,Guduvanchery,Harassment,23,Evening,Urban,Guduvanchery PS,12
2022,Dindigul,Oddanchatram,Rape,21,Night,Rural,Oddanchatram PS,15
2022,Karur,Kulithalai,Assault,24,Morning,Rural,Kulithalai PS,6
2022,Namakkal,Rasipuram,Kidnapping,19,Night,Urban,Rasipuram PS,16
2022,Cuddalore,Panruti,Rape,26,Night,Urban,Panruti PS,19
2022,Thoothukudi,Tuticorin,Assault,32,Evening,Urban,Tuticorin PS,8
2022,Virudhunagar,Rajapalayam,Harassment,25,Evening,Rural,Rajapalayam PS,11
2022,Ramanathapuram,Rameswaram,Kidnapping,16,Night,Rural,Rameswaram PS,10
2022,Kanchipuram,Walajabad,Assault,28,Morning,Rural,Walajabad PS,5
2022,Nilgiris,Coonoor,Rape,27,Night,Urban,Coonoor PS,13
2023,Chennai,T Nagar,Rape,24,Night,Urban,T Nagar PS,23
2023,Chennai,Velachery,Assault,32,Evening,Urban,Velachery PS,12
2023,Chennai,Tambaram,Kidnapping,16,Night,Urban,Tambaram PS,16
2023,Coimbatore,Gandhipuram,Rape,27,Night,Urban,Gandhipuram PS,24
2023,Coimbatore,RS Puram,Assault,37,Morning,Urban,RS Puram PS,7
2023,Madurai,Anna Nagar,Rape,22,Night,Urban,Anna Nagar PS,19
2023,Madurai,KK Nagar,Assault,30,Evening,Urban,KK Nagar PS,10
2023,Salem,Suramangalam,Kidnapping,18,Night,Rural,Suramangalam PS,14
2023,Trichy,Thillai Nagar,Rape,25,Night,Urban,Thillai Nagar PS,21
2023,Tirunelveli,Palayamkottai,Assault,31,Evening,Rural,Palayamkottai PS,6
2023,Erode,Perundurai,Rape,20,Night,Rural,Perundurai PS,16
2023,Vellore,Katpadi,Assault,28,Morning,Urban,Katpadi PS,5
2023,Thanjavur,Kumbakonam,Kidnapping,17,Evening,Rural,Kumbakonam PS,12
2023,Tiruppur,Avinashi,Rape,30,Night,Urban,Avinashi PS,20
2023,Chennai,Adyar,Assault,36,Morning,Urban,Adyar PS,9
2023,Chengalpattu,Urapakkam,Harassment,24,Evening,Urban,Urapakkam PS,13
2023,Dindigul,Palani,Rape,22,Night,Rural,Palani PS,17
2023,Karur,Aravakurichi,Assault,26,Morning,Rural,Aravakurichi PS,7
2023,Namakkal,Paramathi,Kidnapping,18,Night,Rural,Paramathi PS,15
2023,Cuddalore,Chidambaram,Rape,28,Night,Urban,Chidambaram PS,21
2023,Thoothukudi,Ettayapuram,Assault,34,Evening,Rural,Ettayapuram PS,9
2023,Virudhunagar,Aruppukkottai,Harassment,23,Evening,Rural,Aruppukkottai PS,12
2023,Ramanathapuram,Keelakarai,Kidnapping,17,Night,Rural,Keelakarai PS,11
2023,Kanchipuram,Chengalpattu,Assault,29,Morning,Urban,Chengalpattu PS,6
2023,Nilgiris,Gudalur,Rape,26,Night,Rural,Gudalur PS,14
2024,Chennai,T Nagar,Rape,23,Night,Urban,T Nagar PS,25
2024,Chennai,Velachery,Assault,31,Evening,Urban,Velachery PS,13
2024,Chennai,Tambaram,Kidnapping,17,Night,Urban,Tambaram PS,17
2024,Coimbatore,Gandhipuram,Rape,26,Night,Urban,Gandhipuram PS,26
2024,Coimbatore,Peelamedu,Assault,35,Morning,Urban,Peelamedu PS,8
2024,Madurai,Anna Nagar,Rape,21,Night,Urban,Anna Nagar PS,20
2024,Madurai,Simmakkal,Assault,29,Evening,Rural,Simmakkal PS,11
2024,Salem,Hasthampatti,Kidnapping,16,Night,Rural,Hasthampatti PS,15
2024,Trichy,Srirangam,Rape,24,Night,Urban,Srirangam PS,22
2024,Tirunelveli,Melapalayam,Assault,32,Evening,Rural,Melapalayam PS,7
2024,Erode,Bhavani,Rape,19,Night,Rural,Bhavani PS,17
2024,Vellore,Gudiyatham,Assault,27,Morning,Rural,Gudiyatham PS,4
2024,Thanjavur,Pattukkottai,Kidnapping,15,Evening,Rural,Pattukkottai PS,13
2024,Tiruppur,Dharapuram,Rape,29,Night,Urban,Dharapuram PS,21
2024,Chennai,Perambur,Assault,34,Morning,Urban,Perambur PS,10
2024,Chengalpattu,Padappai,Harassment,25,Evening,Urban,Padappai PS,14
2024,Dindigul,Batlagundu,Rape,23,Night,Rural,Batlagundu PS,18
2024,Karur,Krishnarayapuram,Assault,27,Morning,Rural,Krishnarayapuram PS,8
2024,Namakkal,Kumarapalayam,Kidnapping,19,Night,Urban,Kumarapalayam PS,17
2024,Cuddalore,Virudhachalam,Rape,29,Night,Rural,Virudhachalam PS,22
2024,Thoothukudi,Kayalpattinam,Assault,35,Evening,Rural,Kayalpattinam PS,10
2024,Virudhunagar,Sattur,Harassment,24,Evening,Rural,Sattur PS,13
2024,Ramanathapuram,Mudukulathur,Kidnapping,18,Night,Rural,Mudukulathur PS,12
2024,Kanchipuram,Sriperumbudur,Assault,30,Morning,Urban,Sriperumbudur PS,7
2024,Nilgiris,Kotagiri,Rape,27,Night,Rural,Kotagiri PS,15
2025,Chennai,T Nagar,Rape,24,Night,Urban,T Nagar PS,27
2025,Chennai,Velachery,Assault,33,Evening,Urban,Velachery PS,14
2025,Chennai,Tambaram,Kidnapping,18,Night,Urban,Tambaram PS,18
2025,Coimbatore,Gandhipuram,Rape,28,Night,Urban,Gandhipuram PS,28
2025,Coimbatore,RS Puram,Assault,36,Morning,Urban,RS Puram PS,9
2025,Madurai,Anna Nagar,Rape,23,Night,Urban,Anna Nagar PS,22
2025,Madurai,KK Nagar,Assault,31,Evening,Urban,KK Nagar PS,12
2025,Salem,Ammapet,Kidnapping,17,Night,Rural,Ammapet PS,16
2025,Trichy,Woraiyur,Rape,26,Night,Urban,Woraiyur PS,24
2025,Tirunelveli,Palayamkottai,Assault,33,Evening,Rural,Palayamkottai PS,8
2025,Erode,Perundurai,Rape,20,Night,Rural,Perundurai PS,18
2025,Vellore,Katpadi,Assault,29,Morning,Urban,Katpadi PS,6
2025,Thanjavur,Kumbakonam,Kidnapping,16,Evening,Rural,Kumbakonam PS,14
2025,Tiruppur,Avinashi,Rape,31,Night,Urban,Avinashi PS,23
2025,Chennai,Adyar,Assault,35,Morning,Urban,Adyar PS,11
2025,Chengalpattu,Kelambakkam,Harassment,26,Evening,Urban,Kelambakkam PS,15
2025,Dindigul,Vedasandur,Rape,24,Night,Rural,Vedasandur PS,19
2025,Karur,Pugalur,Assault,28,Morning,Rural,Pugalur PS,9
2025,Namakkal,Sendamangalam,Kidnapping,20,Night,Rural,Sendamangalam PS,18
2025,Cuddalore,Titakudi,Rape,30,Night,Rural,Titakudi PS,23
2025,Thoothukudi,Tiruchendur,Assault,36,Evening,Urban,Tiruchendur PS,11
2025,Virudhunagar,Virudhunagar,Harassment,25,Evening,Urban,Virudhunagar PS,14
2025,Ramanathapuram,Kamuthi,Kidnapping,19,Night,Rural,Kamuthi PS,13
2025,Kanchipuram,Oragadam,Assault,31,Morning,Urban,Oragadam PS,8
2025,Nilgiris,Masinagudi,Rape,28,Night,Rural,Masinagudi PS,16
